,neighbourhood_group,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
43436,2,2,165,2,0,,,1,5
41286,1,1,55,7,4,2019-06-06,0.92,1,95
46726,5,1,149,1,0,,,1,363
3287,2,1,102,2,6,2016-01-02,0.13,4,0
8661,2,1,85,1,52,2019-06-19,1.39,4,355
15845,1,1,89,1,15,2019-05-14,0.43,1,179
29649,1,1,45,2,26,2019-06-23,1.6,1,74
29012,2,2,299,4,3,2018-05-07,0.16,1,0
4159,3,2,130,30,1,2014-08-04,0.02,1,0
1240,2,1,93,14,88,2019-06-28,1.03,1,176
24994,2,2,210,2,4,2018-12-30,0.22,1,0
267,2,2,200,3,0,,,1,0
27211,3,1,70,1,34,2019-06-24,1.67,1,93
23739,2,2,90,1,17,2019-07-06,1.68,1,64
29326,2,2,140,1,25,2019-06-27,1.67,11,330
13396,1,1,60,1,2,2016-01-01,0.05,1,0
8091,5,2,125,2,41,2019-05-19,0.81,2,342
41244,3,1,49,1,14,2019-07-02,2.76,6,121
32227,1,2,125,1,1,2018-07-26,0.09,1,0
39091,1,1,45,5,0,,,3,0
21399,2,1,65,1,186,2019-06-28,6.38,4,199
7611,1,1,65,5,0,,,1,0
17552,1,1,50,1,10,2019-04-28,0.3,1,0
12403,2,1,49,1,0,,,1,0
6543,2,2,120,4,4,2015-05-30,0.07,1,0
29242,2,1,125,1,3,2018-12-31,0.38,1,365
10099,2,2,150,1,2,2018-03-30,0.07,3,0
33876,1,2,200,3,32,2019-07-06,3.58,2,141
13800,2,2,144,3,0,,,1,0
10413,1,2,135,4,2,2015-10-17,0.04,1,0
18087,3,1,90,2,80,2019-07-02,2.35,1,350
48690,1,2,120,30,0,,,2,45
21532,1,2,160,2,17,2018-07-09,0.59,1,3
36267,2,2,314,30,0,,,232,330
21670,1,1,54,2,53,2019-06-02,2.3,1,8
46969,1,1,50,3,0,,,2,311
45752,3,2,275,2,1,2019-07-04,1.0,1,266
38072,2,1,68,1,33,2019-07-01,4.25,1,19
20037,1,3,50,1,23,2018-12-29,0.74,2,364
17736,1,2,125,2,4,2017-01-02,0.12,1,0
32741,1,1,75,2,19,2019-06-03,1.47,1,198
48396,1,1,100,1,0,,,3,330
9398,2,2,130,3,18,2017-09-30,0.39,1,0
33316,3,2,100,1,4,2018-09-09,0.34,1,0
37908,1,2,270,3,1,2018-12-08,0.14,1,125
32045,1,1,48,7,6,2019-06-23,0.45,1,0
19365,2,1,130,2,123,2019-06-07,3.79,3,59
11607,1,2,200,3,0,,,1,0
45318,1,1,43,1,2,2019-06-01,1.09,1,249
47114,5,1,60,1,0,,,1,83
9562,1,2,130,4,34,2019-04-28,0.73,2,340
7080,2,2,275,2,11,2018-07-18,0.21,1,0
10064,3,2,79,1,22,2019-04-15,0.49,1,130
44325,1,1,48,1,22,2019-07-07,9.85,2,236
31361,2,2,450,3,38,2019-07-01,3.21,3,302
35297,2,2,639,3,4,2019-03-26,0.38,1,108
10708,2,1,40,2,9,2016-01-16,0.2,1,0
45449,1,1,51,1,4,2019-06-02,2.31,1,71
4029,1,1,52,3,5,2019-06-03,0.11,1,281
43091,1,1,65,1,6,2019-05-29,1.91,2,323
34733,2,2,188,30,0,,,65,326
34237,1,1,120,1,3,2019-05-30,0.63,1,0
36311,3,1,58,2,35,2019-06-02,3.85,5,235
13242,1,1,60,14,1,2016-04-01,0.03,2,0
16614,2,1,115,2,30,2019-07-02,0.8,3,3
47577,2,2,199,1,0,,,1,43
15480,1,2,290,5,4,2018-08-19,0.11,1,0
19682,2,2,275,30,2,2017-09-17,0.08,121,365
44091,1,1,60,1,4,2019-06-23,1.85,1,341
32912,1,1,60,1,1,2019-03-18,0.26,7,350
32603,3,1,50,1,57,2019-06-23,4.37,2,295
15083,2,1,75,1,5,2016-08-20,0.13,1,0
37319,1,2,82,1,15,2019-05-27,2.02,1,16
18605,3,2,150,1,144,2019-07-07,4.13,2,134
16463,2,3,99,3,48,2019-06-19,1.53,1,0
39032,1,1,65,3,4,2019-05-10,0.62,1,0
18808,1,2,100,3,4,2019-03-22,0.12,1,69
10045,1,2,72,4,121,2019-06-24,2.54,2,33
45761,2,1,50,2,6,2019-06-30,5.0,1,29
21794,1,1,81,5,42,2019-06-02,1.58,3,63
16315,1,2,120,2,5,2016-08-31,0.13,2,0
40716,1,2,95,3,0,,,2,0
2149,2,2,119,3,17,2018-06-11,0.22,1,0
48432,2,2,220,4,0,,,1,78
32809,2,1,122,1,71,2019-06-11,5.5,3,91
34371,2,1,55,30,8,2019-05-21,0.71,47,351
20801,1,2,218,30,25,2019-05-19,0.82,3,342
43634,2,2,150,12,4,2019-05-23,1.38,1,118
2374,1,2,212,2,51,2019-06-15,0.91,1,147
19753,2,1,69,4,153,2019-07-01,4.74,2,125
16620,2,2,150,2,18,2019-06-02,0.81,1,0
16953,1,2,70,70,3,2018-04-08,0.08,1,0
2097,2,2,235,3,73,2019-07-05,0.94,1,44
33658,1,2,78,30,1,2018-08-19,0.09,1,6
42977,1,2,150,6,5,2019-06-23,2.17,1,40
36266,1,1,89,1,24,2019-06-06,3.09,2,72
13041,2,2,200,1,0,,,1,0
4764,1,2,175,5,82,2019-01-01,1.41,1,0
1410,2,1,80,1,160,2019-06-27,1.9,1,319
25925,1,1,50,3,22,2019-04-06,0.98,2,0
34093,2,2,150,3,30,2019-06-19,2.59,1,159
17020,1,1,75,2,0,,,1,0
35860,2,1,100,2,35,2019-06-26,4.32,1,6
44252,2,3,50,1,1,2019-05-08,0.48,2,363
226,1,1,135,2,21,2019-05-17,0.26,1,272
31221,2,1,65,30,3,2018-12-07,0.26,34,311
35487,1,3,50,7,1,2018-09-28,0.11,1,179
46159,2,2,390,3,1,2019-06-22,1.0,1,5
5128,1,2,95,1,10,2018-12-29,0.21,1,0
45632,1,1,52,14,0,,,1,31
23990,1,2,162,2,46,2019-06-25,1.92,1,19
21297,5,1,45,5,46,2019-06-02,1.55,1,174
26544,1,1,79,1,0,,,2,179
8628,2,1,60,9,7,2017-08-15,0.15,1,0
2949,2,1,76,3,164,2019-06-24,2.34,1,27
1174,2,1,99,1,280,2019-06-23,3.51,1,246
7901,2,1,45,2,3,2016-05-07,0.07,1,0
11993,3,2,144,2,13,2019-03-24,0.3,1,288
26473,2,2,130,30,4,2019-01-30,0.23,20,272
12556,2,2,89,1,1,2015-12-26,0.02,1,0
19591,2,2,125,2,8,2018-07-29,0.26,1,0
2891,1,3,40,1,34,2019-01-24,0.48,3,75
43271,1,2,120,31,1,2019-05-11,0.51,2,155
47483,2,1,160,3,1,2019-06-26,1.0,1,52
31766,3,1,85,3,10,2019-06-04,0.79,1,88
31545,2,2,85,35,0,,,1,0
23542,2,1,80,1,0,,,1,0
33695,1,1,65,1,57,2019-06-24,4.76,1,48
42300,2,2,220,30,6,2019-06-08,1.94,1,135
25030,1,1,75,1,11,2019-06-13,0.48,4,347
13205,2,1,65,2,5,2018-04-22,0.14,2,0
25374,2,2,350,5,1,2017-11-26,0.05,1,0
19151,2,2,499,30,0,,,18,146
28134,1,2,142,2,5,2018-04-29,0.25,1,0
27786,1,2,116,2,2,2019-05-19,0.11,1,0
37442,3,1,60,2,12,2019-06-16,1.45,2,19
18123,2,1,85,1,2,2016-08-20,0.06,2,0
13342,2,2,150,3,0,,,1,0
24032,1,1,69,2,1,2017-08-13,0.04,1,0
44323,1,2,70,30,0,,,1,0
6551,1,1,100,1,0,,,1,0
21528,2,2,190,31,4,2019-01-03,0.21,33,299
45219,2,2,99,2,5,2019-06-22,2.88,1,0
36654,3,1,50,1,14,2018-12-28,1.7,1,272
1698,2,1,100,7,1,2016-05-01,0.03,1,0
25390,3,1,84,1,89,2019-06-23,4.01,3,356
24344,2,1,85,2,2,2017-08-16,0.08,1,0
5549,1,2,100,3,9,2016-04-05,0.16,1,0
37022,1,2,150,2,13,2019-06-30,1.53,1,160
7656,1,2,80,10,3,2018-08-05,0.06,1,0
32166,3,1,50,1,27,2019-06-23,2.02,9,363
10538,1,1,65,2,5,2018-11-18,0.11,3,4
41943,2,2,160,2,4,2019-05-27,0.94,1,0
23811,1,2,149,2,13,2019-06-30,0.52,1,0
33375,2,1,125,1,54,2019-06-19,4.34,1,341
41224,2,2,890,1,2,2019-03-02,0.41,1,301
47091,5,2,69,7,0,,,1,254
24317,2,1,79,1,62,2019-05-26,2.58,2,258
47468,2,2,115,2,0,,,1,3
35907,1,2,180,3,4,2019-06-22,0.53,1,5
33503,1,1,70,1,2,2018-09-30,0.17,1,0
34930,3,1,57,2,21,2019-06-02,1.94,5,125
16510,2,2,199,3,57,2019-06-20,1.51,1,93
25652,2,1,75,1,5,2017-09-25,0.22,1,0
17196,1,1,65,3,0,,,1,0
6036,2,2,250,3,0,,,1,0
31529,1,1,102,2,1,2018-04-29,0.07,1,0
1497,3,1,75,14,11,2018-08-31,0.15,1,332
45954,2,2,550,3,5,2019-06-22,3.85,1,320
32075,2,2,500,2,1,2018-07-30,0.09,1,363
29088,2,2,190,1,94,2019-07-01,5.18,1,187
18392,1,2,110,30,4,2017-08-07,0.12,4,301
45077,2,1,100,1,1,2019-06-16,1.0,7,339
31538,1,1,52,2,41,2019-06-08,2.94,1,3
3282,1,2,250,2,88,2019-05-28,1.31,1,223
18233,2,1,175,2,41,2019-06-02,1.18,1,242
10072,1,2,150,1,78,2019-05-09,2.22,5,365
24296,1,1,99,5,0,,,1,0
29594,1,2,125,3,0,,,2,0
39176,1,1,70,2,1,2019-01-01,0.16,1,0
17964,1,1,49,14,0,,,1,0
11359,2,2,200,2,5,2016-05-22,0.11,1,0
17395,2,1,49,1,12,2017-08-24,0.33,1,0
750,1,1,75,2,5,2015-09-07,0.06,2,365
15140,2,2,239,30,1,2019-02-28,0.23,121,351
39931,3,1,55,2,0,,,1,35
19625,3,1,55,1,5,2017-03-12,0.15,2,0
18275,2,1,55,3,89,2019-06-23,2.53,1,66
16971,2,2,110,4,6,2017-09-15,0.16,1,0
30259,1,2,2000,1,0,,,4,177
311,1,1,59,3,29,2019-06-16,0.36,1,15
35300,3,2,115,2,31,2019-06-25,3.31,1,169
18729,1,2,160,3,2,2017-07-31,0.06,1,0
34180,2,1,37,13,2,2018-08-11,0.17,1,0
4665,1,2,145,3,13,2016-08-14,0.22,1,0
15469,1,1,80,1,1,2016-05-23,0.03,3,0
27535,3,2,82,21,0,,,1,0
36969,5,1,50,1,6,2019-01-21,0.71,1,0
1696,1,2,200,3,4,2015-12-31,0.05,1,0
7416,2,2,160,2,53,2019-06-09,1.06,1,0
19850,1,2,169,3,44,2019-06-24,1.4,1,64
6865,1,2,210,3,31,2019-05-13,0.57,1,0
37050,2,2,525,2,3,2019-05-24,0.36,1,158
22022,1,1,50,4,6,2019-03-31,0.22,1,6
5053,1,2,120,3,12,2018-08-19,0.22,1,0
13519,2,1,84,1,1,2019-03-31,0.3,8,0
32121,1,2,113,3,6,2019-01-28,0.46,1,1
7599,2,2,200,2,6,2016-01-03,0.12,1,0
23203,2,2,150,10,5,2019-01-06,0.24,1,0
38587,2,2,350,3,1,2019-03-17,0.26,1,7
29576,2,2,800,2,0,,,1,2
19511,3,1,159,1,0,,,2,179
31751,1,2,75,2,2,2018-08-05,0.15,1,0
47189,2,2,140,3,1,2019-06-20,1.0,1,5
28423,2,1,55,2,3,2018-01-02,0.16,1,0
21377,2,1,80,90,0,,,1,173
22675,1,1,54,2,14,2017-11-06,0.52,1,0
8304,1,2,350,3,15,2015-09-14,0.3,1,0
21417,3,1,70,1,5,2019-06-27,4.69,2,31
45594,1,3,25,7,1,2019-05-26,0.67,6,313
2489,1,2,155,2,114,2019-06-17,1.82,1,314
42295,2,1,115,1,19,2019-06-23,6.63,3,37
10598,1,1,90,1,5,2015-10-19,0.11,1,0
13933,1,1,50,1,35,2019-06-11,0.92,2,365
4593,2,2,220,2,119,2018-03-03,1.93,1,0
46762,2,2,190,2,4,2019-07-03,4.0,1,29
12429,1,1,49,1,113,2019-06-03,2.89,3,288
24936,1,1,57,1,4,2017-09-01,0.17,1,0
39361,2,1,49,4,2,2019-01-26,0.35,2,0
5756,2,2,900,3,10,2018-12-30,0.17,1,0
33430,2,2,1500,3,5,2019-05-20,0.43,1,362
10276,2,2,150,2,52,2019-06-23,1.11,1,72
22470,2,1,69,1,63,2019-06-24,2.34,4,29
23722,2,2,110,3,8,2018-08-28,0.32,1,0
3350,1,2,115,30,4,2016-01-15,0.07,1,47
14747,3,1,750,1,0,,,2,0
36570,1,1,95,2,7,2019-04-15,0.77,4,3
37837,1,1,80,1,71,2019-07-07,8.99,2,35
18379,2,2,198,3,15,2019-05-27,0.43,1,4
438,2,1,95,7,25,2019-02-12,0.3,1,359
23788,1,2,136,3,10,2018-08-25,0.4,1,0
6740,2,1,180,1,0,,,1,0
13996,3,2,130,3,50,2019-07-01,1.27,2,352
44673,2,2,195,1,6,2019-06-29,2.77,1,2
5684,1,1,60,1,1,2014-09-23,0.02,1,0
42117,2,2,185,1,5,2019-05-05,1.2,1,338
15889,3,2,80,7,15,2019-05-20,0.41,1,0
1188,2,1,80,1,1,2012-06-22,0.01,1,0
9994,2,2,175,5,0,,,1,0
32657,2,1,62,7,9,2019-05-20,0.75,47,337
31884,3,2,250,2,22,2019-07-07,1.6,1,47
42816,2,2,275,1,0,,,8,0
13721,1,2,94,2,37,2018-02-04,0.88,1,0
31886,2,2,136,2,6,2019-06-02,0.42,1,39
32699,2,1,95,2,4,2019-03-24,0.31,2,0
21720,1,1,69,2,61,2019-06-22,2.14,3,42
6649,1,1,42,7,0,,,1,0
45883,2,2,320,3,3,2019-06-30,3.0,1,0
26643,1,1,62,2,28,2018-07-29,1.34,1,0
27271,3,2,90,6,0,,,1,0
20633,2,2,190,1,0,,,1,0
33102,2,1,155,2,3,2019-05-30,0.24,2,0
7981,1,1,49,1,67,2019-06-23,1.56,1,8
9595,2,1,60,1,1,2015-07-23,0.02,1,0
38648,1,1,60,2,14,2019-06-03,1.99,1,0
13108,1,2,120,3,3,2016-08-09,0.08,2,0
773,2,2,139,30,52,2019-05-13,0.6,1,314
36552,2,2,350,2,29,2019-07-05,3.27,1,65
3394,2,2,290,1,114,2018-10-07,1.71,1,157
27679,1,1,45,7,2,2018-04-15,0.1,1,0
22955,2,2,125,30,3,2019-06-08,0.45,31,339
40301,1,2,80,35,0,,,1,0
37510,1,2,149,6,7,2019-05-29,0.96,1,4
31425,1,3,37,30,0,,,3,84
45043,1,2,149,2,3,2019-07-02,3.0,1,268
31607,2,1,112,2,81,2019-07-07,5.63,1,6
24779,1,2,175,3,0,,,1,0
40028,1,3,40,3,1,2019-03-16,0.26,10,281
28778,2,2,221,5,7,2019-03-29,0.38,1,1
46748,1,2,300,3,0,,,1,359
47145,3,1,75,2,0,,,2,90
27619,2,2,195,2,4,2018-06-10,0.21,1,0
10365,1,2,120,2,11,2019-01-01,0.93,1,6
5809,2,2,260,1,0,,,1,0
21802,2,1,150,2,1,2019-04-20,0.37,1,0
23770,2,2,287,31,6,2019-03-20,0.27,33,326
34912,1,2,172,3,32,2019-06-13,3.12,3,78
22930,1,1,47,4,1,2017-05-25,0.04,2,0
22105,2,1,89,5,55,2018-09-07,2.02,1,0
21707,1,2,160,7,3,2019-06-12,0.12,1,43
46835,1,1,48,30,0,,,25,305
6222,2,1,205,2,3,2018-07-10,0.05,1,364
10881,2,2,300,2,1,2015-09-21,0.02,1,0
17832,1,2,115,10,0,,,1,0
1426,2,2,700,5,1,2012-09-18,0.01,1,365
8101,2,2,130,3,2,2015-12-28,0.04,1,0
40552,2,1,42,3,7,2019-06-29,1.39,1,131
2754,2,1,80,3,51,2019-04-26,0.79,3,276
21011,1,2,78,10,0,,,1,0
31727,1,2,100,30,1,2018-05-03,0.07,2,111
20481,2,1,120,7,0,,,1,0
34374,1,1,55,2,18,2019-05-21,1.61,2,5
36107,1,2,225,2,37,2019-06-29,3.84,1,229
46254,1,1,100,5,0,,,1,43
36771,2,2,244,30,1,2019-01-31,0.19,232,218
1763,2,1,75,26,58,2019-06-07,0.73,3,129
17784,3,2,99,1,143,2019-06-28,3.96,1,282
43376,3,1,70,3,1,2019-05-09,0.49,1,59
1656,2,2,200,4,11,2017-05-20,0.14,1,259
8202,2,2,150,3,107,2019-06-23,2.16,1,99
2277,1,1,89,1,49,2019-06-24,0.66,4,24
29996,2,2,225,2,12,2019-06-17,0.71,1,363
27550,1,1,120,1,4,2019-06-07,0.2,2,0
21595,3,2,150,7,12,2019-05-31,0.42,1,3
16542,1,2,105,4,13,2017-08-14,0.36,2,0
7747,2,2,250,1,3,2015-12-28,0.07,1,0
4559,2,2,275,3,63,2019-06-16,1.02,1,323
24267,3,1,100,1,0,,,1,0
15666,2,1,100,1,0,,,1,0
29500,2,2,200,5,46,2019-07-01,2.63,1,228
896,1,2,160,3,25,2018-12-22,0.29,1,0
40235,1,1,90,2,12,2019-06-23,2.67,1,3
44736,2,2,120,365,4,2019-05-17,1.9,5,305
2927,3,2,200,4,24,2019-06-01,0.38,2,157
32706,2,1,45,5,17,2019-06-30,1.36,1,119
48301,2,1,999,30,0,,,1,270
6561,1,1,125,2,0,,,3,280
31247,1,1,60,3,1,2018-05-31,0.07,1,0
40213,1,2,120,2,15,2019-07-05,2.53,1,20
48787,1,1,41,1,0,,,1,66
14424,2,2,285,30,0,,,49,364
36906,3,3,30,4,1,2019-05-03,0.45,7,365
15551,2,2,125,1,0,,,1,0
6401,1,1,70,14,18,2019-06-30,0.35,1,128
27000,2,2,300,3,0,,,3,294
32040,1,1,85,1,17,2019-06-10,1.64,3,67
48635,2,2,349,3,0,,,1,11
24415,3,1,125,2,3,2018-10-10,0.13,3,364
36275,2,2,300,30,0,,,1,310
24138,2,1,99,3,49,2019-06-25,1.98,1,216
35023,2,2,250,2,1,2019-04-21,0.38,1,9
33676,2,1,75,7,3,2018-10-24,0.29,47,348
23014,3,2,100,30,3,2017-12-02,0.13,1,213
21247,4,2,75,2,103,2019-07-05,3.52,1,73
24056,1,2,95,8,6,2018-07-23,0.25,1,0
44835,3,1,65,2,7,2019-06-16,4.04,1,104
13468,2,1,110,3,76,2019-06-26,1.78,3,281
4679,1,2,158,3,12,2015-06-08,0.19,1,0
5771,4,2,99,7,35,2019-05-30,0.61,1,326
21915,3,2,110,3,68,2019-07-05,2.47,1,299
25983,3,1,120,1,63,2019-06-19,2.81,6,356
16922,3,1,150,1,0,,,3,364
31608,2,2,175,1,2,2018-07-02,0.16,1,0
180,1,1,65,2,206,2019-06-30,1.92,2,0
48069,3,1,100,2,0,,,2,357
32044,2,2,198,9,2,2019-01-31,0.28,1,12
21897,1,1,59,5,26,2019-06-24,0.93,4,325
10035,2,1,90,1,3,2015-10-11,0.06,1,0
45418,2,1,100,1,12,2019-06-16,7.66,5,287
8090,1,2,100,1,183,2019-06-28,5.17,1,1
42497,2,1,50,2,13,2019-06-15,3.42,1,65
35423,5,1,48,2,33,2019-06-22,3.21,1,47
13852,1,1,60,1,1,2016-09-13,0.03,1,0
44405,2,1,159,1,0,,,20,360
40304,1,2,155,30,0,,,2,365
13,2,1,85,2,113,2019-07-05,0.91,1,333
4251,2,2,75,1,2,2018-02-22,0.1,1,0
8494,1,1,78,2,1,2015-06-16,0.02,1,0
3674,1,2,225,5,0,,,1,0
8721,2,2,180,3,2,2019-05-19,0.76,1,2
15956,2,1,50,1,4,2016-05-16,0.1,1,0
38776,2,2,481,30,0,,,232,156
7671,2,1,70,2,200,2019-06-29,3.92,1,202
39357,1,2,180,3,1,2018-12-13,0.14,1,90
19645,1,1,65,20,3,2019-04-30,0.39,1,35
22599,2,1,99,1,134,2019-06-30,4.96,2,176
33335,2,1,75,1,6,2019-06-23,0.66,1,0
30176,1,2,260,2,6,2019-06-30,0.4,1,1
25891,1,2,114,12,27,2019-05-07,1.19,1,13
46950,1,2,60,3,1,2019-06-17,1.0,1,94
4496,3,2,100,1,1,2014-09-04,0.02,1,0
46415,3,1,36,1,5,2019-07-07,3.85,2,337
5460,2,2,230,6,1,2014-10-24,0.02,1,0
10820,2,2,250,2,1,2015-09-26,0.02,1,0
28540,2,2,175,2,10,2018-10-01,0.54,1,0
20120,1,1,59,20,7,2019-04-28,0.27,3,342
42081,2,1,100,1,1,2019-05-04,0.45,9,299
35132,1,1,39,3,2,2019-02-18,0.19,2,0
29078,1,1,55,2,5,2018-09-23,0.27,2,0
15209,2,2,136,30,0,,,15,317
43037,2,1,90,3,2,2019-06-15,0.97,8,282
12372,2,2,200,2,39,2019-05-27,1.14,1,19
10077,2,2,140,5,5,2016-10-07,0.11,1,0
33670,1,1,125,7,1,2018-09-01,0.1,1,45
41226,2,1,50,2,8,2019-07-02,2.76,2,52
29285,2,2,170,30,0,,,9,200
30597,2,2,153,1,7,2019-04-01,0.7,17,234
35225,2,2,135,3,9,2019-04-19,0.87,1,68
45058,3,2,86,1,1,2019-06-16,1.0,1,125
1213,1,1,95,1,10,2014-12-03,0.14,1,0
38222,1,1,40,5,1,2018-11-27,0.13,1,250
43819,2,2,325,4,4,2019-07-07,2.03,1,65
42383,2,1,68,1,31,2019-07-03,7.69,4,94
18785,2,2,150,1,23,2019-07-01,1.42,1,14
31442,3,1,90,1,68,2019-06-21,4.55,1,299
30574,2,1,90,1,32,2019-05-06,2.02,1,5
10237,2,2,239,4,4,2015-10-26,0.09,1,0
44477,1,1,100,1,4,2019-06-02,2.03,3,365
14365,2,2,75,1,1,2016-02-21,0.02,1,0
38851,2,1,115,1,20,2019-05-31,2.83,1,67
30233,3,3,30,1,41,2019-06-18,2.48,3,145
46534,1,1,69,2,1,2019-06-07,0.91,2,89
29043,2,1,65,7,9,2019-05-06,0.71,1,144
47692,2,2,165,29,0,,,327,342
27357,1,2,107,4,17,2019-03-11,0.85,1,9
28980,2,2,150,2,1,2018-01-01,0.05,1,0
14563,2,2,225,30,0,,,49,348
33696,1,2,172,1,34,2019-06-20,3.07,5,133
12883,2,2,199,2,137,2019-06-24,3.14,1,317
46143,2,2,154,30,0,,,2,0
47760,3,1,375,2,0,,,1,356
40855,2,2,117,5,6,2019-03-24,1.22,1,0
12923,3,2,123,1,0,,,1,0
24352,2,1,50,7,3,2017-08-27,0.12,1,0
47890,1,2,285,7,0,,,1,6
13326,2,1,100,1,0,,,1,0
43902,1,3,25,2,1,2019-05-28,0.71,3,167
31329,2,2,299,3,29,2019-01-22,1.96,1,6
42476,1,1,175,2,6,2019-07-01,2.14,3,61
26448,3,1,33,1,7,2019-06-25,0.35,3,139
45572,4,2,1250,14,0,,,1,23
21235,3,2,47,11,27,2019-04-27,0.9,2,212
23491,2,2,100,5,0,,,1,0
12457,2,1,39,1,0,,,1,0
16441,1,1,43,1,30,2019-07-07,1.15,1,6
31088,2,2,275,4,2,2018-06-08,0.13,1,0
7020,1,2,300,2,8,2016-10-24,0.22,1,0
39171,2,2,150,4,0,,,1,0
3442,1,2,88,2,14,2018-07-13,0.21,1,16
